identifer,sort,dc_title,dc_description,dc_creator,iiif_service
cddc54f7-b699-451c-bf37-1a41aa620817,0,"Parent Record; Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],
773307a0-7435-4482-a62c-19a13cd9901a,1,"Front Cover; Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/156/info.json
c97ca5f1-02dc-4154-8c10-eb0e44b6295b,2,"Front Pastedown; Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/157/info.json
f6c7f7bc-0acc-40c5-95ee-f7595921bb15,3,"Title Page; Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/158/info.json
02d35f84-d9f1-440b-b0aa-f18b7d5ccc30,4,"Map of Anoka County; Page 4: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/159/info.json
789a5402-bdf3-4ad3-99b3-18a740aa24b7,5,"Map of Hennepin County; Page 5: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/160/info.json
fd47ae51-024f-4cd3-ad33-23c4a2818197,6,"Directory of Linwood Township; Page 6: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/161/info.json
cfd2a509-2327-4025-ab86-d83dca56b9fe,7,"Map of Linwood Township: Townships 33 & 34 N; Range 22 W of the 4th PM.; Page 7: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/162/info.json
a54a2776-3972-46b8-bd0d-e539e008a8f5,8,"Directory of Bethel Township; Page 8: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/163/info.json
034a8b52-aa41-4b78-87d0-860ead41271e,9,"Map of Bethel Township: Townships 33 & 34 N; Range 23 W of the 5th PM.; Page 9: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/164/info.json
4484388f-b080-4529-9caf-461d2dad46d6,10,"Directory of St. Francis Township; Page 10: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/165/info.json
68d06d4f-75d9-40e8-b9d8-8112907ad9a6,11,"Directory of Burns Township; Page 10A: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914.",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/166/info.json
2c239829-ba4e-4097-814e-0524651e77b4,12,"Map of Burns & St Francis Townships: Townships 33 & 34; Range 25 W of the 4th PM.; Page 12: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/167/info.json
9baa5c53-61f9-47be-9825-88dfe8aeeb20,13,"Map of Oak Grove & St Francis Townships: Townships 33N & 34N; Ranges 23W & R24W of the 4th PM.; Page 13: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/168/info.json
36d8fda2-38ca-4c74-8d23-09755a92a572,14,"Directory of Ramsey Township; Page 14: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/169/info.json
bf50345d-6496-4c5a-86e7-dc1586a3e051,15,"Map of Ramsey Township: Township 32 N; Range 25 W of the 4th PM.; Page 15: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/170/info.json
9d2cccc1-68ce-4ae8-8313-016b6d8477b3,16,"Directory of Grow Township; Page 16: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/171/info.json
352cba82-8660-454b-9787-c9964f87d0c2,17,"Map of Grow Township: Township 32 N; Range 24 W of the 4th PM.; Page 17: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/172/info.json
43cb771c-d5d5-4dda-ac27-dedb48549f73,18,"Directory of Ham Lake Township; Page 18: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/173/info.json
9ddd89b4-f429-4351-b0e4-5d4594e00019,19,"Map of Ham Lake Township: Township 32 N; Range 23 W of the 4th PM.; Page 19: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/174/info.json
231315af-3d9d-4a4b-9ba1-1558c83259b1,20,"Directory of Columbus Township; Page 20: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/175/info.json
f5b368f3-6e0a-4117-9d2c-851fb2abedeb,21,"Map of Columbus Township: Townships 32 & 33 N; Range 22 W of the 4th PM.; Page 21: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/176/info.json
ba73d371-05fd-4035-9fd5-fdd50c0512af,22,"Map of Centerville Township: Township 31 N; Range 22 W of the 4th PM.; Page 22: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/177/info.json
576c05d7-16dc-4dd9-9d31-663c6deff306,23,"Directory of Centerville Township; Page 22: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/178/info.json
215b33fd-d32b-4150-bb4a-0046ee536410,24,"Directory of Blaine Township; Page 24: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/179/info.json
7b379d00-df9b-481e-9bbf-8dc7f5716073,25,"Map of Blaine Township: Township 31 N; Range 23 W of the 4th PM.; Page 25: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/180/info.json
37f9d0ba-1d00-4d30-95ef-83616d2eb419,26,"Directory of Anoka Township; Page 26: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/181/info.json
3ef67b3f-431b-463c-b6a1-e0db2153cfb2,27,"Map of Anoka Township: Township 31 N; Range 24 & 25 W of the 4th PM.; Page 27: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/182/info.json
d279fe5e-b643-48ad-bcf8-9c1bae8f2db1,28,"Directory of Fridley Township; Page 28: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/183/info.json
2bd78287-bca5-4412-b90a-583de0cd7124,29,"Map of Fridley Township: Township 30 N; Range 24 W of the 4th PM.; Page 29: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/184/info.json
47d6774a-9481-4222-810c-f6bb8bea9dd4,30,"Directory of Champlin Township; Page 30: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/185/info.json
e92b6d00-76b8-4098-a73f-9df4832181b3,31,"Map of Champlin Township: Township 120 N; Ranges 22 & 23 W of the 4th (i.e.5th] ) PM.; Page 31: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/186/info.json
53122b0c-2bba-4c58-be26-fe84b4f43420,32,"Directory of Dayton Township; Page 32: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/187/info.json
11c32d0f-e5b3-4c10-8aa9-0ff1f74697b9,33,"Map of Dayton Township: Townships 120 & 121 N; Range 22 W of the 5th PM.; Page 33: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/188/info.json
58168bda-bd42-4a51-8b23-76a1da01d411,34,"Directory of Hassan Township; Page 34: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/189/info.json
f6d2158d-c35a-4f72-b695-1646766c7aee,35,"Map of Hassan Township: Township 120 N; Range 23 & 24 W of the 5th PM.; Page 35: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/190/info.json
0d16204f-5eaf-4fc7-8a5d-7d7139103342,36,"Directory of Greenwood Township; Page 36: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/191/info.json
3a6b4ba0-b720-41f0-89e6-40c05f13d1ad,37,"Map of Greenwood Township: Township 119 N; Range 24 W of the 5th PM.; Page 37: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/192/info.json
a379bdc5-ac95-4561-93fd-72bab5ee3af5,38,"Directory of Corcoran Township; Page 38: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/193/info.json
cce93cb9-e85a-4c36-8001-2b09964c5754,39,"Map of Corcoran Township: Township 119 N; Range 23 W of the 5th PM.; Page 39: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/194/info.json
68db6d64-da1d-4f7b-ab11-c777e28ba56b,40,"Directory of Corcoran Township; Page 40: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/195/info.json
e7f233cf-ee62-4e8f-8cfc-3c6b1aa77668,41,"Directory of Maple Grove Township; Page 40a: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/196/info.json
c16db6d2-ffbd-4c0c-9f96-21dda960af95,42,"Directory of Maple Grove Township; Page 40b: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/197/info.json
f3488f45-b6d3-42de-8b0e-96ca71ef941a,43,"Map of Maple Grove Township: Township 119 N; Range 22 W of the 5th PM.; Page 41: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/198/info.json
ce514aaf-ff28-4bf9-aba3-4a16e1fdc031,44,"Directory of Brooklyn Township; Page 41: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/199/info.json
418803d9-bf82-4a29-9eb7-6030da86907c,45,"Map of Brooklyn Township: Township 119 N; Range 21 W of the 5th PM.; Page 43: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/200/info.json
cf16a168-dd23-44e6-ac2d-2be212dd6f1f,46,"Directory of Crystal Lake & Brooklyn Township; Page 44: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/201/info.json
3c1bb75b-b2c9-48b7-a13d-96c78c283b65,47,"Directory of Plymouth Township; Page 44: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/202/info.json
db9c712b-879f-43ca-acdd-6ce3a2bfb1e5,48,"Map of Crystal Township: Township 29 N ; Range 24 W of the 4th PM & Township 118N; Range 21W of the 5th PM.; Page 45: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/203/info.json
0b2d4c62-7e14-49c5-b3a4-2417ff184995,49,"Map of Plymouth Township: Township 118 N; Range 22 W of the 5th PM.; Page 47: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/204/info.json
c1b30a90-6dee-4e5b-ae49-efd9d36bc30c,50,"Directory of Medina Township; Page 48: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/205/info.json
637645c6-90c6-4106-9ad9-7101ed2d5c2e,51,"Map of Medina Township: Township 118 N; Range 23 W of the 5th PM.; Page 49: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/206/info.json
474134e1-d41e-451c-a261-a393f619e648,52,"Directory of Independence Township; Page 50: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/207/info.json
eb8e9886-db0c-49b2-9760-c7d9c6ba8960,53,"Map of Independence Township: Township 118 N; Range 24 W of the 5th PM.; Page 51: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/208/info.json
8d63ae5d-1686-463f-a269-b20cbb47dafd,54,"Directory of Independence Township, con't.; Page 52: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/209/info.json
33e2d180-07b6-4390-b115-6a3834528e06,55,"Location with Population of all Incorporated Towns in Minnesota; Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/210/info.json
32a85340-0b2f-4811-9333-c05f57df37b0,56,"Map of Minnesota - Northern Half; Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/211/info.json
a6e40803-8c6f-4f72-b3f7-b1f4da0b69a2,57,"Map of Minnesota - Southern Half; Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/212/info.json
2bdddd0e-8d45-40a8-a201-430da0e8b44a,58,"Location with Population of all Incorporated Towns in Minnesota; Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/213/info.json
471a8dd1-fdd9-4e61-b0e4-555abad9a85e,59,"Index of all the Chief Towns and Cities of Over 2,000 in the United States; Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/214/info.json
0669ec8e-c4ed-4cc7-ba42-8468f94e09e6,60,"Map of the United States; Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/215/info.json
00b2ef86-049d-45c0-b5b7-784d21a7537d,61,"Index of all the Chief Towns and Cities of Over 2,000 in the United States; Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/216/info.json
1995f820-30bd-415c-8f31-4578b51c957a,62,"Rear Pastedown; Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/217/info.json
97d587c6-c0f3-44a4-9a76-38a0630314d0,63,"Rear Cover; Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/218/info.json